tran_id,created_date,reached_bo_date,item_manufacturer,item_name,so_line,so_quantity,bo_quantity,item_curve,item_buyer,field,bo_status,new_value,is_dropship,IsUnder,IsAfter,Buckets,Hours 2,MAX so_amount,Under 48 hours,After 48 Hours
SO209039,03/18/2026 05:09:31.000 PM,03/18/2026 05:11:36.000 PM,Silent Knight,005860TR,2,10,1,BZ,Arthur Malheiro,Allocated Supply,Available in different location,1,F,T,F,A. Under 1 Hour,0,430,1,0
SO209039,03/18/2026 05:09:31.000 PM,03/18/2026 05:11:36.000 PM,Silent Knight,005860TR,2,10,1,BZ,Arthur Malheiro,Allocated Supply,Available in different location,10,F,T,F,A. Under 1 Hour,0,430,1,0
SO209055,03/18/2026 05:39:47.000 PM,03/19/2026 09:02:38.000 AM,Vesda,VP-ELB-90,4,5,0,AY,Arthur Malheiro,Allocated Supply,Available in different location,3,F,T,F,C. 13 a 24h,13,169,1,0
SO209055,03/18/2026 05:39:47.000 PM,03/19/2026 09:02:38.000 AM,Vesda,VP-ELB-90,4,5,0,AY,Arthur Malheiro,Committed,Available in different location,3,F,T,F,C. 13 a 24h,13,169,1,0
SO209133,03/18/2026 07:50:55.000 PM,03/18/2026 08:08:56.000 PM,System Sensor,5603,1,10,0,AY,Arthur Malheiro,Allocated Supply,Available in different location,10,F,T,F,A. Under 1 Hour,0,209,1,0
SO209133,03/18/2026 07:50:55.000 PM,03/19/2026 09:02:59.000 AM,System Sensor,5603,1,10,0,AY,Arthur Malheiro,Committed,Available in different location,10,F,T,F,C. 13 a 24h,13,209,1,0
SO209558,03/20/2026 08:56:19.000 AM,03/20/2026 01:41:02.000 PM,Ziton,ZP730-2P,1,2,2,CZ,Lorena Galvao,Allocated Supply,Purchased,2,F,T,F,B. 1 a 12h,4,56,1,0
SO209567,03/20/2026 11:16:28.000 AM,03/20/2026 02:05:39.000 PM,Fike,404-0006,1,2,2,CZ,Lorena Galvao,Allocated Supply,Purchased,2,F,T,F,B. 1 a 12h,2,92,1,0
SO209568,03/20/2026 11:22:46.000 AM,03/20/2026 11:26:54.000 AM,Power Sonic,PS-12260 NB2,1,2,2,CZ,Isabelle Cruz,Allocated Supply,Purchased,2,F,T,F,A. Under 1 Hour,0,171,1,0
SO209743,03/20/2026 06:34:33.000 PM,03/20/2026 08:39:52.000 PM,Vesda,VSP-962,3,2,0,AY,Arthur Malheiro,Allocated Supply,BP Available in stock,2,F,T,F,I. Others,1,127,1,0
SO209743,03/20/2026 06:34:33.000 PM,03/20/2026 08:39:52.000 PM,Vesda,VSP-962,3,2,0,AY,Arthur Malheiro,Committed,BP Available in stock,2,F,T,F,I. Others,1,127,1,0
SO209743,03/20/2026 06:34:33.000 PM,03/20/2026 07:20:17.000 PM,Vesda,VSP-963,4,2,2,CZ,Arthur Malheiro,Allocated Supply,Purchased,2,F,T,F,A. Under 1 Hour,0,"1,335",1,0
SO209743,03/20/2026 06:34:33.000 PM,03/21/2026 09:02:27.000 AM,Vesda,VSP-961,7,12,12,BZ,Arthur Malheiro,Allocated Supply,Purchased,1,F,T,F,A. Under 1 Hour,0,449,1,0
SO209743,03/20/2026 06:34:33.000 PM,03/21/2026 09:02:27.000 AM,Vesda,VSP-961,7,12,12,BZ,Arthur Malheiro,Allocated Supply,Purchased,12,F,T,F,A. Under 1 Hour,0,449,1,0
SO209743,03/20/2026 06:34:33.000 PM,03/20/2026 07:36:19.000 PM,Vesda,VSP-032,10,2,0,CZ,Arthur Malheiro,Allocated Supply,Available in different location,1,F,T,F,A. Under 1 Hour,0,"1,005",1,0
SO209743,03/20/2026 06:34:33.000 PM,03/20/2026 07:36:19.000 PM,Vesda,VSP-032,10,2,0,CZ,Arthur Malheiro,Allocated Supply,Available in different location,2,F,T,F,A. Under 1 Hour,0,"1,005",1,0
SO209743,03/20/2026 06:34:33.000 PM,03/20/2026 07:36:19.000 PM,Vesda,VSP-032,10,2,0,CZ,Arthur Malheiro,Committed,Available in different location,1,F,T,F,A. Under 1 Hour,0,"1,005",1,0
SO209743,03/20/2026 06:34:33.000 PM,03/20/2026 07:36:19.000 PM,Vesda,VSP-032,10,2,0,CZ,Arthur Malheiro,Committed,Available in different location,2,F,T,F,A. Under 1 Hour,0,"1,005",1,0
SO209743,03/20/2026 06:34:33.000 PM,03/20/2026 07:20:17.000 PM,Vesda,VSP-034,12,2,2,CZ,Arthur Malheiro,Allocated Supply,Purchased,2,F,T,F,A. Under 1 Hour,0,"1,441",1,0
SO209743,03/20/2026 06:34:33.000 PM,03/20/2026 07:20:17.000 PM,Vesda,VP-UNION,21,12,10,BZ,Arthur Malheiro,Allocated Supply,Purchased,12,F,T,F,A. Under 1 Hour,0,480,1,0
SO209952,03/23/2026 11:05:58.000 AM,03/23/2026 11:06:00.000 AM,Apollo,45681-509APO,1,4,4,BY,Arthur Malheiro,Allocated Supply,Purchased,4,F,T,F,A. Under 1 Hour,0,109,1,0
SO209952,03/23/2026 11:05:58.000 AM,03/23/2026 02:45:35.000 PM,Power Sonic,PS-1221FR,5,2,2,CZ,Isabelle Cruz,Allocated Supply,Purchased,2,F,T,F,B. 1 a 12h,3,25,1,0
SO209952,03/23/2026 11:05:58.000 AM,03/23/2026 01:20:58.000 PM,C-TEC,CFP702-2,6,1,1,CZ,Arthur Malheiro,Allocated Supply,Purchased,1,F,T,F,B. 1 a 12h,2,156,1,0
SO209953,03/23/2026 11:12:50.000 AM,03/23/2026 01:40:45.000 PM,FireClass,576.501.063,1,8,8,BX,Lorena Galvao,Allocated Supply,Purchased,8,F,T,F,B. 1 a 12h,2,289,1,0
SO209963,03/23/2026 12:00:50.000 PM,03/23/2026 12:00:51.000 PM,Fike,402-0006,1,2,0,CZ,Lorena Galvao,Allocated Supply,Purchased,2,F,T,F,A. Under 1 Hour,0,44,1,0
SO209963,03/23/2026 12:00:50.000 PM,03/23/2026 04:23:28.000 PM,Fike,402-0006,1,2,0,CZ,Lorena Galvao,Committed,Purchased,2,F,T,F,B. 1 a 12h,4,44,1,0
SO209963,03/23/2026 12:00:50.000 PM,03/23/2026 01:37:58.000 PM,Fike,204-0001,2,6,6,CZ,Lorena Galvao,Allocated Supply,Purchased,6,F,T,F,I. Others,1,239,1,0
SO209964,03/23/2026 12:16:16.000 PM,03/23/2026 12:21:25.000 PM,Vesda,VP-UNION,2,2,0,BZ,Arthur Malheiro,Allocated Supply,Purchased,2,F,T,F,A. Under 1 Hour,0,89,1,0
SO209964,03/23/2026 12:16:16.000 PM,03/23/2026 05:47:42.000 PM,Vesda,VP-UNION,2,2,0,BZ,Arthur Malheiro,Committed,Purchased,2,F,T,F,B. 1 a 12h,5,89,1,0
SO209964,03/23/2026 12:16:16.000 PM,03/23/2026 07:27:03.000 PM,Vesda,VP-UNION,2,2,0,BZ,Arthur Malheiro,Fulfilled,Purchased,0,F,T,F,B. 1 a 12h,7,89,1,0
SO209964,03/23/2026 12:16:16.000 PM,03/23/2026 07:27:03.000 PM,Vesda,VP-UNION,2,2,0,BZ,Arthur Malheiro,Fulfilled,Purchased,2,F,T,F,B. 1 a 12h,7,89,1,0
SO209967,03/23/2026 12:46:14.000 PM,03/23/2026 02:05:42.000 PM,Gent,S3-VAD-HPR-R,1,1,1,CZ,Lorena Galvao,Allocated Supply,Purchased,1,F,T,F,I. Others,1,77,1,0
SO210284,03/24/2026 09:56:20.000 AM,03/24/2026 01:40:43.000 PM,GeoFire,3-59-0362,1,5,5,CZ,Arthur Malheiro,Allocated Supply,Purchased,5,F,T,F,B. 1 a 12h,3,124,1,0
SO210289,03/24/2026 11:26:58.000 AM,03/24/2026 01:40:44.000 PM,Yuasa,Y9-12,1,2,1,CZ,Arthur Malheiro,Allocated Supply,Purchased,2,F,T,F,B. 1 a 12h,2,35,1,0
SO210293,03/24/2026 12:06:56.000 PM,03/24/2026 01:40:44.000 PM,Yuasa,Y4-12,1,2,2,CZ,Arthur Malheiro,Allocated Supply,Purchased,2,F,T,F,I. Others,1,29,1,0
SO210298,03/24/2026 12:31:20.000 PM,03/24/2026 12:37:05.000 PM,Siemens,MT-SUR-BOX,1,4,0,CZ,Lorena Galvao,Allocated Supply,Available in different location,4,F,T,F,A. Under 1 Hour,0,153,1,0
SO210298,03/24/2026 12:31:20.000 PM,03/24/2026 12:37:05.000 PM,Siemens,MT-SUR-BOX,1,4,0,CZ,Lorena Galvao,Committed,Available in different location,4,F,T,F,A. Under 1 Hour,0,153,1,0
SO210298,03/24/2026 12:31:20.000 PM,03/25/2026 01:55:16.000 PM,Siemens,MT-SUR-BOX,1,4,0,CZ,Lorena Galvao,Fulfilled,Available in different location,4,F,T,F,D. 25 a 36h,25,153,1,0
SO210309,03/24/2026 01:09:13.000 PM,03/24/2026 06:56:51.000 PM,Power Sonic,PS-1221FR,1,2,2,CZ,Isabelle Cruz,Allocated Supply,Purchased,2,F,T,F,B. 1 a 12h,5,25,1,0
SO210310,03/24/2026 01:12:49.000 PM,03/24/2026 04:47:54.000 PM,Simplex,49HFV-APPLC,1,10,3,BX,Lorena Galvao,Allocated Supply,Purchased,3,F,T,F,B. 1 a 12h,3,"2,164",1,0
SO210310,03/24/2026 01:12:49.000 PM,03/24/2026 04:47:54.000 PM,Simplex,49HFV-APPLC,1,10,3,BX,Lorena Galvao,Allocated Supply,Purchased,4,F,T,F,B. 1 a 12h,3,"2,164",1,0
SO210310,03/24/2026 01:12:49.000 PM,03/24/2026 06:59:35.000 PM,Simplex,49HFV-APPLC,1,10,3,BX,Lorena Galvao,Fulfilled,Purchased,7,F,T,F,B. 1 a 12h,5,"2,164",1,0
SO210319,03/24/2026 01:38:46.000 PM,03/24/2026 01:56:46.000 PM,Ceasefire,CF-001333,1,1,1,CZ,Arthur Malheiro,Allocated Supply,Purchased,1,F,T,F,A. Under 1 Hour,0,86,1,0
SO210319,03/24/2026 01:38:46.000 PM,03/24/2026 01:56:46.000 PM,FireBlitz,FBA-G4,2,1,1,CZ,Arthur Malheiro,Allocated Supply,Purchased,1,F,T,F,A. Under 1 Hour,0,257,1,0
SO210337,03/24/2026 02:15:57.000 PM,03/24/2026 02:40:51.000 PM,Hispec,HSSA/MOD/RF-PRO,1,3,3,CZ,Arthur Malheiro,Allocated Supply,Purchased,3,F,T,F,A. Under 1 Hour,0,81,1,0
SO210337,03/24/2026 02:15:57.000 PM,03/24/2026 02:40:51.000 PM,Hispec,HSSA/OP/10,2,3,3,CZ,Arthur Malheiro,Allocated Supply,Purchased,3,F,T,F,A. Under 1 Hour,0,106,1,0
SO210405,03/24/2026 03:46:20.000 PM,03/24/2026 03:52:33.000 PM,Potter,PAD300-DUCT,1,3,2,CZ,Arthur Malheiro,Allocated Supply,Purchased,1,F,T,F,A. Under 1 Hour,0,595,1,0
SO210405,03/24/2026 03:46:20.000 PM,03/24/2026 03:52:33.000 PM,Potter,PAD300-DUCT,1,3,2,CZ,Arthur Malheiro,Allocated Supply,Purchased,3,F,T,F,A. Under 1 Hour,0,595,1,0
SO210428,03/24/2026 04:24:05.000 PM,03/24/2026 08:03:15.000 PM,Prysmian,AP007-R,1,1,1,CZ,Arthur Malheiro,Allocated Supply,Purchased,1,F,T,F,B. 1 a 12h,3,13,1,0
